"Method","Percentage","Total_mean","Total_sd","Mean_Error_MNARMARMCAR","sd_Error_MNARMARMCAR","Mean_Error_MNARMAR","sd_Error_MNARMAR","Mean_Error_MARMCAR","sd_Error_MARMCAR","Mean_Error_MNARMCAR","sd_Error_MNARMCAR","Mean_Error_MAR","sd_Error_MAR","Mean_Error_MNAR","sd_Error_MNAR","Mean_Error_MCAR","sd_Error_MCAR","Time_mean","Time_sd"
"BPCA","0.1",1.39,0.61,1.18,0.01,1.32,0,1.01,0,1.34,0.01,1.02,0,2.86,0.01,1.03,0,0.61,0.01
"BPCA","0.3",1.36,0.52,1.14,0,1.32,0.01,1.03,0,1.34,0.01,1.04,0,2.6,0.01,1.02,0,0.52,0.1
"BPCA","0.6",1.39,0.48,1.24,0,1.31,0,1.04,0,1.47,0.01,1.08,0,2.51,0.01,1.06,0,0.48,0.11
"BPCA","0.8",1.38,0.51,1.18,0,1.25,0.01,1.04,0,1.57,0,1.03,0.01,2.55,0,1.06,0,0.51,0.01
"BPCA","comb_Perc",1.38,0.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.38,0.53
"KNNImpute","0.1",1.42,0.63,1.22,0.01,1.34,0,1.03,0,1.39,0.01,1.01,0.01,2.92,0.02,1.07,0,0.63,0
"KNNImpute","0.3",1.38,0.52,1.18,0,1.33,0.01,1.05,0,1.37,0.01,1.04,0,2.62,0.01,1.08,0,0.52,0
"KNNImpute","0.6",1.64,0.52,1.28,0,1.3,0,NA,NA,1.47,0.01,NA,NA,2.52,0.01,NA,NA,0.52,0
"KNNImpute","0.8",1.45,0.46,1.29,0.01,1.34,0,1.17,0,1.55,0,1.12,0.01,2.53,0.01,1.18,0.01,0.46,0
"KNNImpute","comb_Perc",1.46,0.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.46,0.54
"LLS","0.1",1.67,0.65,1.42,0.01,1.51,0,1.41,0.01,1.5,0.01,1.23,0.01,3.24,0.03,1.35,0.01,0.65,0.04
"LLS","0.3",452972.72,11939745.49,1.72,0.03,1.78,0.39,11816.55,690.25,2.01,4.6,2.4,0.09,3158979.31,31589764.36,5.25,0.36,11939745.49,0.07
"LLS","0.6",5.76,3.44,6.24,0,NA,NA,6.02,6.65,5.24,3.71,5.99,0.02,3.19,0.05,7.93,1.22,3.44,0.45
"LLS","0.8",26.95,278.35,8.02,0,NA,NA,3.27,0.24,3.64,0.02,15.75,1.1,108.93,677.93,21.93,1.4,278.35,0.19
"LLS","comb_Perc",122056.07,6197638.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,122056.07,6197638.04
"mean","0.1",1.39,0.61,1.18,0.01,1.32,0,1.01,0,1.34,0.01,1.02,0,2.86,0.01,1.03,0,0.61,0
"mean","0.3",1.36,0.52,1.14,0,1.31,0.01,1.03,0,1.34,0.01,1.04,0,2.6,0.01,1.02,0,0.52,0
"mean","0.6",1.38,0.49,1.22,0,1.29,0,1.04,0,1.46,0.01,1.05,0,2.51,0.01,1.06,0,0.49,0
"mean","0.8",1.38,0.51,1.18,0,1.25,0.01,1.04,0,1.57,0,1.03,0.01,2.55,0,1.06,0,0.51,0
"mean","comb_Perc",1.38,0.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.38,0.53
"min","0.1",1.74,0.52,1.38,0.02,1.35,0,2.31,0.01,1.26,0,2.24,0.01,1.2,0.01,2.47,0.01,0.52,0
"min","0.3",1.64,0.44,1.35,0,1.22,0.01,2.18,0.02,1.1,0,2.06,0,1.37,0,2.18,0.01,0.44,0
