"Method","Miss","MissModel","MNAR","MCAR","MAR","Iteration","Rows","Cols","Total_data","Time_total","NRMSE"
"PPCA",0.02,"MCAR",0,0.02,0,1,26,200,5200,8.13997006416321,1.10549231360007
"RF",0.02,"MCAR",0,0.02,0,1,26,200,5200,1.66999077796936,1.05149412966224
"min",0.02,"MCAR",0,0.02,0,1,26,200,5200,0.0881414413452148,2.17994168934828
"mean",0.02,"MCAR",0,0.02,0,1,26,200,5200,0.0765509605407715,1.0374861094432
"LLS",0.02,"MCAR",0,0.02,0,1,26,200,5200,0.128420352935791,1.22902341469981
"KNNImpute",0.02,"MCAR",0,0.02,0,1,26,200,5200,0.0101020336151123,1.0292045845144
"BPCA",0.02,"MCAR",0,0.02,0,1,26,200,5200,0.20303201675415,1.0374861094432
"svdImpute",0.02,"MCAR",0,0.02,0,1,26,200,5200,0.0907540321350098,1.34635486679174
"PPCA",0.02,"MNAR",0.02,0,0,1,26,200,5200,3.90865230560303,3.65173428147498
"RF",0.02,"MNAR",0.02,0,0,1,26,200,5200,1.2185332775116,3.73354427351062
"min",0.02,"MNAR",0.02,0,0,1,26,200,5200,0.0769767761230469,1.1878197984973
"mean",0.02,"MNAR",0.02,0,0,1,26,200,5200,0.0767753124237061,3.68640582047436
"LLS",0.02,"MNAR",0.02,0,0,1,26,200,5200,0.069011926651001,3.82875429105552
"KNNImpute",0.02,"MNAR",0.02,0,0,1,26,200,5200,0.00104594230651855,3.75845635957334
"BPCA",0.02,"MNAR",0.02,0,0,1,26,200,5200,0.185875415802002,3.68640582047436
"svdImpute",0.02,"MNAR",0.02,0,0,1,26,200,5200,0.055098295211792,4.07611445137929
"PPCA",0.02,"MAR",0,0,0.02,1,26,200,5200,4.25696277618408,1.11561410185088
"RF",0.02,"MAR",0,0,0.02,1,26,200,5200,1.24667620658875,1.04877037952677
"min",0.02,"MAR",0,0,0.02,1,26,200,5200,0.0779147148132324,2.64509308044908
"mean",0.02,"MAR",0,0,0.02,1,26,200,5200,0.0760154724121094,1.0586544197732
"LLS",0.02,"MAR",0,0,0.02,1,26,200,5200,0.0576972961425781,1.67379443695237
"KNNImpute",0.02,"MAR",0,0,0.02,1,26,200,5200,0.00102686882019043,1.07462461703622
"BPCA",0.02,"MAR",0,0,0.02,1,26,200,5200,0.187454700469971,1.0586544197732
"svdImpute",0.02,"MAR",0,0,0.02,1,26,200,5200,0.0614519119262695,2.44719290506248
"PPCA",0.02,"MNARMCAR",0.01,0.01,0,1,26,200,5200,5.97635078430176,1.33763416665253
