"Method","Prop","Iteration","results_rmse"
"RF",0.01,1,0.0155782567151217
"PPCA",0.01,1,0.0177395770272335
"mean",0.01,1,0.0187184095530736
"min",0.01,1,0.143163181443747
"RF",0.05,1,0.0166055012538964
"PPCA",0.05,1,0.016635460215509
"mean",0.05,1,0.0162783126704155
"min",0.05,1,0.130205703178879
"RF",0.1,1,0.0162730683423071
"PPCA",0.1,1,0.0161860539877587
"mean",0.1,1,0.0167462313153153
"min",0.1,1,0.127790548823375
"RF",0.2,1,0.0159963855692644
"PPCA",0.2,1,0.0166804918796003
"mean",0.2,1,0.0161819053406585
"min",0.2,1,0.124727969068001
"RF",0.3,1,0.0167621385221216
"PPCA",0.3,1,0.0169126000437848
"mean",0.3,1,0.0154438071287645
"min",0.3,1,0.122140448017748
"RF",0.01,2,0.0182013756342452
"PPCA",0.01,2,0.0168246805186986
"mean",0.01,2,0.0130733216140705
"min",0.01,2,0.119974002418935
"RF",0.05,2,0.0174178010709566
"PPCA",0.05,2,0.0155765822731628
"mean",0.05,2,0.0168867364773924
"min",0.05,2,0.128324786612903
"RF",0.1,2,0.0156518948556763
"PPCA",0.1,2,0.0174188544241647
"mean",0.1,2,0.0147853286164158
"min",0.1,2,0.125629637544528
"RF",0.2,2,0.0172562992944281
"PPCA",0.2,2,0.0168344671165651
"mean",0.2,2,0.0167010662367307
"min",0.2,2,0.121820364196896
"RF",0.3,2,0.0169284099756524
"PPCA",0.3,2,0.0166730554730355
"mean",0.3,2,0.0152613245157624
"min",0.3,2,0.11257362002968
