"Method","Prop","Iteration","results_mse"
"RF",0.01,1,0.0174876356702616
"PPCA",0.01,1,0.0155817333804802
"mean",0.01,1,0.0155136323511315
"min",0.01,1,0.125172168976455
"RF",0.1,1,0.0153826802692313
"PPCA",0.1,1,0.0157614039210633
"mean",0.1,1,0.0159321224346561
"min",0.1,1,0.125609232929842
"RF",0.2,1,0.0159307042534383
"PPCA",0.2,1,0.0160279008740543
"mean",0.2,1,0.015284822983895
"min",0.2,1,0.120766987810235
"RF",0.3,1,0.015474098433919
"PPCA",0.3,1,0.0160318587836678
"mean",0.3,1,0.0154096439606456
"min",0.3,1,0.117925797781157
"RF",0.01,2,0.0157927557369133
"PPCA",0.01,2,0.0150237234724616
"mean",0.01,2,0.0158979770800962
"min",0.01,2,0.123388407184366
"RF",0.1,2,0.0155870237868908
"PPCA",0.1,2,0.0155381353493657
"mean",0.1,2,0.0157649498220553
"min",0.1,2,0.121621923111127
"RF",0.2,2,0.0154751722730237
"PPCA",0.2,2,0.0160003242414688
"mean",0.2,2,0.0153729369234072
"min",0.2,2,0.120429920339513
"RF",0.3,2,0.015699730132339
"PPCA",0.3,2,0.0160461824864584
"mean",0.3,2,0.0154254046028408
"min",0.3,2,0.117231373135168
