"Method","Prop","Iteration","results_differences","error"
"min",0.01,1,0.124781639420382,2.82604546439966
"mean",0.01,1,0.0156027276337162,1.00158329625
"PPCA",0.01,1,0.0149595873421262,1.01284147143619
"RF",0.01,1,0.0153966876678648,1.00829174071308
"min",0.1,1,0.122844915036138,2.8377945970311
"mean",0.1,1,0.0152388777522885,1.0035855601701
"PPCA",0.1,1,0.0158840438604941,1.0161158213341
"RF",0.1,1,0.0158134804018859,1.01029411544957
"min",0.3,1,0.11485331196646,2.73067056843716
"mean",0.3,1,0.01553032969243,1.0054692707863
"PPCA",0.3,1,0.0162917766148803,1.02362809889214
"RF",0.3,1,0.0159422013429083,1.01249656859429
"min",0.4,1,0.111451994719303,2.6912334132095
"mean",0.4,1,0.015521097126723,1.00492758775716
"PPCA",0.4,1,0.0162269720126459,1.0249903237202
"RF",0.4,1,0.0158210635571138,1.01399035954187
"min",0.01,2,0.124002171634128,2.76759121886001
"mean",0.01,2,0.016646095014726,1.0051864074008
"PPCA",0.01,2,0.0150294235839041,1.01266487878177
"RF",0.01,2,0.0159264795125883,1.02029020607563
"min",0.1,2,0.123320969290207,2.83961695385107
"mean",0.1,2,0.0156286499466236,1.00347434765984
"PPCA",0.1,2,0.0159043483030749,1.0185517879969
"RF",0.1,2,0.015577464671069,1.01017844246548
"min",0.3,2,0.116516019440928,2.74004607263967
"mean",0.3,2,0.0155159457321044,1.00396703269143
"PPCA",0.3,2,0.0160874259656187,1.02280491495427
"RF",0.3,2,0.0160439991447428,1.01237604644102
"min",0.4,2,0.113786032767714,2.70882230718663
"mean",0.4,2,0.0157787059161136,1.00529584368208
"PPCA",0.4,2,0.0162011478030282,1.02779430463452
"RF",0.4,2,0.0160496569356729,1.01457380800056
"min",0.01,3,0.130760549121243,2.97601347886386
"mean",0.01,3,0.0151732328401423,1.0031869285845
"PPCA",0.01,3,0.0153752988872338,1.02950478819428
"RF",0.01,3,0.0150852733614402,1.01218678945712
"min",0.1,3,0.123853849137447,2.83110555211594
"mean",0.1,3,0.0160400249570389,1.00463387028882
"PPCA",0.1,3,0.0162218314877708,1.02256382816369
"RF",0.1,3,0.0154847471812993,1.01026885589545
"min",0.3,3,0.116336815610986,2.74171488050502
"mean",0.3,3,0.0157198174827328,1.00525462493239
"PPCA",0.3,3,0.0162051431482796,1.02323520652621
"RF",0.3,3,0.0158863633104025,1.01230318187804
"min",0.4,3,0.112334500763592,2.66981072428324
"mean",0.4,3,0.0156085914177221,1.00557603383704
"PPCA",0.4,3,0.0163543933010575,1.02524170008378
"RF",0.4,3,0.0159085198196464,1.01479085356249
