"Method","Prop","Iteration","results_rmse"
"min",0.01,1,0.0990118469277628
"mean",0.01,1,0.0156809271737925
"PPCA",0.01,1,0.0154890478513547
"RF",0.01,1,0.0165422917966613
"min",0.1,1,0.095300735344067
"mean",0.1,1,0.0169710514312449
"PPCA",0.1,1,0.017679303918184
"RF",0.1,1,0.0159787705540405
"min",0.3,1,0.0879311034370565
"mean",0.3,1,0.0161696823129735
"PPCA",0.3,1,0.0169920738555855
"RF",0.3,1,0.0163271689889043
"min",0.4,1,0.0838899806038845
"mean",0.4,1,0.0164331449601485
"PPCA",0.4,1,0.0184950856501121
"RF",0.4,1,0.0163677854883361
"min",0.01,2,0.0946973385639644
"mean",0.01,2,0.0149683854118099
"PPCA",0.01,2,0.0167494122546292
"RF",0.01,2,0.0187708907543684
"min",0.1,2,0.0923761623276871
"mean",0.1,2,0.0155182503150784
"PPCA",0.1,2,0.0172460002086122
"RF",0.1,2,0.0164082263754025
"min",0.3,2,0.0855337461924671
"mean",0.3,2,0.0157521437702346
"PPCA",0.3,2,0.0175902920440486
"RF",0.3,2,0.0160383506985166
"min",0.4,2,0.0826690916356798
"mean",0.4,2,0.0162829315609241
"PPCA",0.4,2,0.0178173567341182
"RF",0.4,2,0.0163052738171021
"min",0.01,3,0.0944122752825833
"mean",0.01,3,0.0154879583586697
"PPCA",0.01,3,0.0183166514402634
"RF",0.01,3,0.0171656779292819
"min",0.1,3,0.0946864545499838
"mean",0.1,3,0.0163093999465495
"PPCA",0.1,3,0.0165779742138399
"RF",0.1,3,0.0158400901430694
"min",0.3,3,0.0878440128269882
"mean",0.3,3,0.0157901938241575
"PPCA",0.3,3,0.0175846664955429
"RF",0.3,3,0.015965637170165
"min",0.4,3,0.0835853281679276
"mean",0.4,3,0.0157576409217051
"PPCA",0.4,3,0.0178472349366664
"RF",0.4,3,0.0159996893152164
