"Method","Prop","Iteration","results_differences","error"
"min",0.03,1,0.011255401944858,1.15337956076665
"mean",0.03,1,0.101787354369944,3.46455158418002
"PPCA",0.03,1,0.102199291636553,3.56719749422978
"RF",0.03,1,0.101388240872284,3.26452454889457
"min",0.03,2,0.0109115623138581,1.13988128000701
"mean",0.03,2,0.102669217187873,3.52803268758661
"PPCA",0.03,2,0.101653875086991,3.4773928131054
"RF",0.03,2,0.103205745755139,3.45881510934914
"min",0.03,3,0.0108051288724182,1.15179266968263
"mean",0.03,3,0.101845806843898,3.48868692724167
"PPCA",0.03,3,0.0999027778570748,3.41143789684348
"RF",0.03,3,0.102196419860931,3.33976042044253
