"Method","Prop","Iteration","results_differences","error"
"min",0.01,1,0.0110285799102135,1.13542735333547
"mean",0.01,1,0.112452889382266,3.53332683541668
"PPCA",0.01,1,0.107172397551119,3.51244550678512
"RF",0.01,1,0.10605423053447,3.50284104308141
"min",0.01,2,0.0105966689323309,1.00558758293806
"mean",0.01,2,0.114842378239604,3.71346325908344
"PPCA",0.01,2,0.112791152984215,3.77951090093389
"RF",0.01,2,0.110423014545379,3.34725257764835
"min",0.01,3,0.010927354861378,1.12774090417855
"mean",0.01,3,0.102707196947047,3.7393246083207
"PPCA",0.01,3,0.11643434221878,3.93426698393162
"RF",0.01,3,0.100732691553935,3.3593733632356
