"Method","Prop","MNAR","MCAR","MAR","Iteration","Rows","Cols","Total_data","results_differences","error"
"mean",0.01,0,0.01,0,1,590,20,11800,0.0141924136975819,1.00829368993313
"mean",0.01,0.01,0,0,1,590,20,11800,0.113839994469617,4.04437050101964
"mean",0.01,0,0,0,1,590,20,11800,NA,NA
"mean",0.01,0.005,0.005,0,1,590,20,11800,0.0521548327306791,1.36996132354565
"mean",0.01,0,0.005,0,1,590,20,11800,0.0140150012380762,1.00639556450044
"mean",0.01,0.005,0,0,1,590,20,11800,0.130779606701557,5.63835789263833
"mean",0.01,0.00333333333333333,0.00333333333333333,0,1,590,20,11800,0.0609120142862547,2.08393206121253
"mean",0.01,0,0.01,0,1,590,20,11800,0.0191641235205111,0.995576950341905
"mean",0.01,0.01,0,0,1,590,20,11800,0.112112248571284,4.11006430861522
"mean",0.01,0,0,0,1,590,20,11800,NA,NA
"mean",0.01,0.005,0.005,0,1,590,20,11800,0.0584985264057141,1.69482694656592
"mean",0.01,0,0.005,0,1,590,20,11800,0.0121200253288525,0.98197171033864
"mean",0.01,0.005,0,0,1,590,20,11800,0.108723701679602,3.98012667176465
"mean",0.01,0.00333333333333333,0.00333333333333333,0,1,590,20,11800,0.0648308846639821,1.82933051329779
"mean",0.05,0,0.01,0,1,590,20,11800,0.0182604040368638,0.993009217078903
"mean",0.05,0.01,0,0,1,590,20,11800,0.0929449215887132,4.20165477348161
"mean",0.05,0,0,0,1,590,20,11800,NA,NA
"mean",0.05,0.005,0.005,0,1,590,20,11800,0.0695386522931805,1.43433935608877
"mean",0.05,0,0.005,0,1,590,20,11800,0.0172156942055111,1.00850547948328
"mean",0.05,0.005,0,0,1,590,20,11800,0.114153784925684,3.97924582370849
"mean",0.05,0.00333333333333333,0.00333333333333333,0,1,590,20,11800,0.0556920985492906,1.51107592977376
"mean",0.05,0,0.01,0,1,590,20,11800,0.0164768571593074,1.00750618729103
"mean",0.05,0.01,0,0,1,590,20,11800,0.160366957297074,4.90791195690453
"mean",0.05,0,0,0,1,590,20,11800,NA,NA
"mean",0.05,0.005,0.005,0,1,590,20,11800,0.0526135772059704,1.68481336246108
"mean",0.05,0,0.005,0,1,590,20,11800,0.0156759594546105,0.990150123469962
"mean",0.05,0.005,0,0,1,590,20,11800,0.114881997621285,4.7719289692535
"mean",0.05,0.00333333333333333,0.00333333333333333,0,1,590,20,11800,0.0754327707523171,1.48794505251817
