"Method","Miss","MNAR","MCAR","MAR","Iteration","Rows","Cols","Total_data","Result_diff","NRMSE"
"mean",0.01,0,0.01,0,1,590,43,25370,0.015270901460901,0.998514732655562
"mean",0.01,0.01,0,0,1,590,43,25370,0.102661707091644,3.59833317248347
"mean",0.01,0,0,0.01,1,590,43,25370,0.0176040880127182,0.997705068396322
"mean",0.01,0.005,0.005,0,1,590,43,25370,0.0573830468458334,1.31814620467451
"mean",0.01,0,0.005,0.005,1,590,43,25370,0.0133168910266401,0.999649502084976
"mean",0.01,0.005,0,0.005,1,590,43,25370,0.0552562048662486,1.30935195855226
"mean",0.01,0.00333333333333333,0.00333333333333333,0.00333333333333333,1,590,43,25370,0.0582253459692417,1.30502477350328
"mean",0.05,0,0.05,0,1,590,43,25370,0.0161884295679546,1.0016159392888
"mean",0.05,0.05,0,0,1,590,43,25370,0.103528177773115,3.80015964859924
"mean",0.05,0,0,0.05,1,590,43,25370,0.0157963215263516,0.999659923851324
"mean",0.05,0.025,0.025,0,1,590,43,25370,0.054226642182853,1.29877866326849
"mean",0.05,0,0.025,0.025,1,590,43,25370,0.0155347397587415,1.0007017537294
"mean",0.05,0.025,0,0.025,1,590,43,25370,0.0505868467170353,1.35094252882962
"mean",0.05,0.0166666666666667,0.0166666666666667,0.0166666666666667,1,590,43,25370,0.0565517896052897,1.35017815976341
"mean",0.01,0,0.01,0,1,590,27,15930,0.0165006883849667,1.00348743829832
"mean",0.01,0.01,0,0,1,590,27,15930,0.15180974965763,4.72798517034262
"mean",0.01,0,0,0.01,1,590,27,15930,0.0157309643379167,0.997363433873307
"mean",0.01,0.005,0.005,0,1,590,27,15930,0.0722585646398135,1.42646101714434
"mean",0.01,0,0.005,0.005,1,590,27,15930,0.0148701162092312,0.991773845754501
"mean",0.01,0.005,0,0.005,1,590,27,15930,0.0594056328066086,1.35060506559584
"mean",0.01,0.00333333333333333,0.00333333333333333,0.00333333333333333,1,590,27,15930,0.0557824576893386,1.82477399219528
"mean",0.05,0,0.05,0,1,590,27,15930,0.0166637663293583,1.0006346311026
"mean",0.05,0.05,0,0,1,590,27,15930,0.101152638896238,2.96932171963855
"mean",0.05,0,0,0.05,1,590,27,15930,0.0163716641508719,0.999658205687993
"mean",0.05,0.025,0.025,0,1,590,27,15930,0.0547371656772117,1.37515820528712
"mean",0.05,0,0.025,0.025,1,590,27,15930,0.0161982904109381,0.997742095372302
"mean",0.05,0.025,0,0.025,1,590,27,15930,0.0454309342897697,1.34492336921331
"mean",0.05,0.0166666666666667,0.0166666666666667,0.0166666666666667,1,590,27,15930,0.051826964089343,1.32190218865303
"mean",0.01,0,0.01,0,1,590,37,21830,0.0149988762808175,0.998033288648937
"mean",0.01,0.01,0,0,1,590,37,21830,0.114376841482424,3.85994146996137
"mean",0.01,0,0,0.01,1,590,37,21830,0.0150825803351086,0.995187057328494
