"Method","Miss","MissModel","MNAR","MCAR","MAR","Iteration","Rows","Cols","Total_data","Time_total","NRMSE"
"PPCA",0.1," MCAR ",0,0.1,0,1,75,1000,75000,9.40943055947622,1.02667313245655
"RF",0.1," MCAR ",0,0.1,0,1,75,1000,75000,2.88665397167206,1.0126249785454
"min",0.1," MCAR ",0,0.1,0,1,75,1000,75000,0.320383071899414,2.58093705187398
"mean",0.1," MCAR ",0,0.1,0,1,75,1000,75000,0.332853317260742,1.00814444041815
"LLS",0.1," MCAR ",0,0.1,0,1,75,1000,75000,6.21003127495448,1.55031378271349
"KNNImpute",0.1," MCAR ",0,0.1,0,1,75,1000,75000,0.0486576557159424,1.05048667059174
"BPCA",0.1," MCAR ",0,0.1,0,1,75,1000,75000,4.46579885482788,1.00814444041815
"PPCA",0.1," MNAR ",0.1,0,0,1,75,1000,75000,8.16659772396088,3.05427825887511
"RF",0.1," MNAR ",0.1,0,0,1,75,1000,75000,2.27521816889445,3.07088592501895
"min",0.1," MNAR ",0.1,0,0,1,75,1000,75000,0.317322254180908,1.23222900013343
"mean",0.1," MNAR ",0.1,0,0,1,75,1000,75000,0.332003116607666,3.04052228992478
"LLS",0.1," MNAR ",0.1,0,0,1,75,1000,75000,5.31494818131129,6.22615893101676
"KNNImpute",0.1," MNAR ",0.1,0,0,1,75,1000,75000,0.0223815441131592,3.07167159641829
"BPCA",0.1," MNAR ",0.1,0,0,1,75,1000,75000,4.66647815704346,3.04052228992478
"PPCA",0.1," MAR ",0,0,0.1,1,75,1000,75000,8.92696766058604,1.03916716219993
"RF",0.1," MAR ",0,0,0.1,1,75,1000,75000,2.36365745464961,1.01591763968161
"min",0.1," MAR ",0,0,0.1,1,75,1000,75000,0.31901216506958,2.59699475948282
"mean",0.1," MAR ",0,0,0.1,1,75,1000,75000,0.329032182693481,1.01008192663622
"LLS",0.1," MAR ",0,0,0.1,1,75,1000,75000,5.51799579461416,2.96746954516894
"KNNImpute",0.1," MAR ",0,0,0.1,1,75,1000,75000,0.01847243309021,1.06466212513867
"BPCA",0.1," MAR ",0,0,0.1,1,75,1000,75000,4.58629035949707,1.01008192663622
"PPCA",0.1," MNAR  MCAR ",0.05,0.05,0,1,75,1000,75000,10.585257045428,1.36724980034858
"RF",0.1," MNAR  MCAR ",0.05,0.05,0,1,75,1000,75000,2.89463749726613,1.36570537345876
"min",0.1," MNAR  MCAR ",0.05,0.05,0,1,75,1000,75000,0.315160036087036,1.40883545366244
"mean",0.1," MNAR  MCAR ",0.05,0.05,0,1,75,1000,75000,0.329956769943237,1.35609019976583
"LLS",0.1," MNAR  MCAR ",0.05,0.05,0,1,75,1000,75000,6.19170627991358,3.95780211978898
"KNNImpute",0.1," MNAR  MCAR ",0.05,0.05,0,1,75,1000,75000,0.0191450119018555,1.38058018137635
"BPCA",0.1," MNAR  MCAR ",0.05,0.05,0,1,75,1000,75000,4.66000294685364,1.35609019976583
"PPCA",0.1," MAR  MCAR ",0,0.05,0.05,1,75,1000,75000,10.6445574402809,1.0326409807096
"RF",0.1," MAR  MCAR ",0,0.05,0.05,1,75,1000,75000,2.84550898472468,1.01605922198143
"min",0.1," MAR  MCAR ",0,0.05,0.05,1,75,1000,75000,0.31555438041687,2.57746136080733
"mean",0.1," MAR  MCAR ",0,0.05,0.05,1,75,1000,75000,0.331550598144531,1.00917894387907
"LLS",0.1," MAR  MCAR ",0,0.05,0.05,1,75,1000,75000,6.13624590237935,3.14178798090462
"KNNImpute",0.1," MAR  MCAR ",0,0.05,0.05,1,75,1000,75000,0.0183758735656738,1.06023485587171
"BPCA",0.1," MAR  MCAR ",0,0.05,0.05,1,75,1000,75000,4.65787768363953,1.00917894387907
"PPCA",0.1," MNAR  MAR ",0.05,0,0.05,1,75,1000,75000,8.87695552110672,1.33939812422892
"RF",0.1," MNAR  MAR ",0.05,0,0.05,1,75,1000,75000,2.30038568178813,1.34029442962427
"min",0.1," MNAR  MAR ",0.05,0,0.05,1,75,1000,75000,0.317113876342773,1.42035557793289
"mean",0.1," MNAR  MAR ",0.05,0,0.05,1,75,1000,75000,0.330965518951416,1.33113693667637
"LLS",0.1," MNAR  MAR ",0.05,0,0.05,1,75,1000,75000,5.37554576396942,3.36328021751556
"KNNImpute",0.1," MNAR  MAR ",0.05,0,0.05,1,75,1000,75000,0.0184369087219238,1.35537626701047
"BPCA",0.1," MNAR  MAR ",0.05,0,0.05,1,75,1000,75000,4.65017604827881,1.33113693667637
"PPCA",0.1," MNAR  MAR  MCAR ",0.03,0.03,0.03,1,75,1000,75000,10.2615926980972,1.19541037939381
"RF",0.1," MNAR  MAR  MCAR ",0.03,0.03,0.03,1,75,1000,75000,2.8499014099439,1.19275834787442
"min",0.1," MNAR  MAR  MCAR ",0.03,0.03,0.03,1,75,1000,75000,0.316778182983398,1.65869997174501
"mean",0.1," MNAR  MAR  MCAR ",0.03,0.03,0.03,1,75,1000,75000,0.329820871353149,1.18544443102441
"LLS",0.1," MNAR  MAR  MCAR ",0.03,0.03,0.03,1,75,1000,75000,6.18322375615438,2.58815271109995
"KNNImpute",0.1," MNAR  MAR  MCAR ",0.03,0.03,0.03,1,75,1000,75000,0.0181136131286621,1.21007868783087
"BPCA",0.1," MNAR  MAR  MCAR ",0.03,0.03,0.03,1,75,1000,75000,4.65982294082642,1.18544443102441
"PPCA",0.3," MCAR ",0,0.3,0,1,75,1000,75000,14.449379559358,1.04027770981247
"RF",0.3," MCAR ",0,0.3,0,1,75,1000,75000,2.11832562287649,1.01727884663349
"min",0.3," MCAR ",0,0.3,0,1,75,1000,75000,0.338319778442383,2.52432782887722
"mean",0.3," MCAR ",0,0.3,0,1,75,1000,75000,0.33008885383606,1.01092321762358
"LLS",0.3," MCAR ",0,0.3,0,1,75,1000,75000,5.66340114672979,14.6310790404668
"KNNImpute",0.3," MCAR ",0,0.3,0,1,75,1000,75000,0.0226664543151855,1.07768865945676
"BPCA",0.3," MCAR ",0,0.3,0,1,75,1000,75000,7.19595646858215,1.01092321762358
"PPCA",0.3," MNAR ",0.3,0,0,1,75,1000,75000,11.3659422039986,2.66589158237339
"RF",0.3," MNAR ",0.3,0,0,1,75,1000,75000,2.09404032627741,2.68330870791953
"min",0.3," MNAR ",0.3,0,0,1,75,1000,75000,0.321381330490112,1.41588702510889
"mean",0.3," MNAR ",0.3,0,0,1,75,1000,75000,0.349144220352173,2.65680797313291
"LLS",0.3," MNAR ",0.3,0,0,1,75,1000,75000,5.38751082817713,9.34951274893621
"KNNImpute",0.3," MNAR ",0.3,0,0,1,75,1000,75000,0.0233347415924072,2.68609037190083
"BPCA",0.3," MNAR ",0.3,0,0,1,75,1000,75000,7.14569020271301,2.65680797313291
"PPCA",0.3," MAR ",0,0,0.3,1,75,1000,75000,15.1724544088046,1.04157676390816
"RF",0.3," MAR ",0,0,0.3,1,75,1000,75000,2.1307586868604,1.01737521126203
"min",0.3," MAR ",0,0,0.3,1,75,1000,75000,0.323237657546997,2.50488533830433
"mean",0.3," MAR ",0,0,0.3,1,75,1000,75000,0.330654382705688,1.01073914225125
"LLS",0.3," MAR ",0,0,0.3,1,75,1000,75000,5.61332436005274,5.16373051198508
"KNNImpute",0.3," MAR ",0,0,0.3,1,75,1000,75000,0.0248937606811523,1.0829699366989
