"Method","Miss","MissModel","MNAR","MCAR","MAR","Iteration","Rows","Cols","Total_data","Time_total","NRMSE"
"PPCA",0.1," MCAR ",0,0.1,0,1,15,30,450,26.0282983779907,1.34546331747015
"RF",0.1," MCAR ",0,0.1,0,1,15,30,450,0.730617523193359,1.0491355501842
"min",0.1," MCAR ",0,0.1,0,1,15,30,450,0.0823702812194824,2.18629543982421
"mean",0.1," MCAR ",0,0.1,0,1,15,30,450,0.0927655696868896,1.01902948671609
"LLS",0.1," MCAR ",0,0.1,0,1,15,30,450,0.0927655696868896,NA
"KNNImpute",0.1," MCAR ",0,0.1,0,1,15,30,450,0.102025747299194,1.07489654565756
"BPCA",0.1," MCAR ",0,0.1,0,1,15,30,450,0.344610452651978,1.13500907437988
"PPCA",0.1," MCAR ",0.1,0,0,1,15,30,450,0.344610452651978,NA
"RF",0.1," MNAR ",0.1,0,0,1,15,30,450,0.566974401473999,2.30747740019971
"min",0.1," MNAR ",0.1,0,0,1,15,30,450,0.0848965644836426,1.32692871073106
"mean",0.1," MNAR ",0.1,0,0,1,15,30,450,0.0653400421142578,2.30925829773391
"LLS",0.1," MNAR ",0.1,0,0,1,15,30,450,0.0653400421142578,NA
"KNNImpute",0.1," MNAR ",0.1,0,0,1,15,30,450,0.0594289302825928,2.25390514671985
"BPCA",0.1," MNAR ",0.1,0,0,1,15,30,450,0.257400751113892,2.30925829773391
"PPCA",0.1," MAR ",0,0,0.1,1,15,30,450,8.80828475952148,1.2650295608625
"RF",0.1," MAR ",0,0,0.1,1,15,30,450,0.720248222351074,1.03346598026501
"min",0.1," MAR ",0,0,0.1,1,15,30,450,0.068798303604126,2.25050045060605
"mean",0.1," MAR ",0,0,0.1,1,15,30,450,0.0650498867034912,0.995731069190976
"LLS",0.1," MAR ",0,0,0.1,1,15,30,450,0.0650498867034912,NA
"KNNImpute",0.1," MAR ",0,0,0.1,1,15,30,450,0.0461544990539551,1.02960431070006
"BPCA",0.1," MAR ",0,0,0.1,1,15,30,450,0.390960931777954,0.995731069190976
"PPCA",0.1," MNAR  MCAR ",0.05,0.05,0,1,15,30,450,12.5467712879181,1.36118127639657
"RF",0.1," MNAR  MCAR ",0.05,0.05,0,1,15,30,450,0.652422189712524,1.291394230429
"min",0.1," MNAR  MCAR ",0.05,0.05,0,1,15,30,450,0.0460331439971924,1.20872571050859
"mean",0.1," MNAR  MCAR ",0.05,0.05,0,1,15,30,450,0.0578277111053467,1.29611804776051
"LLS",0.1," MNAR  MCAR ",0.05,0.05,0,1,15,30,450,0.0578277111053467,NA
"KNNImpute",0.1," MNAR  MCAR ",0.05,0.05,0,1,15,30,450,0.059516429901123,1.30757465469218
"BPCA",0.1," MNAR  MCAR ",0.05,0.05,0,1,15,30,450,0.314324855804443,1.2961180477605
"PPCA",0.1," MAR  MCAR ",0,0.05,0.05,1,15,30,450,13.4275326728821,1.13733905989209
"RF",0.1," MAR  MCAR ",0,0.05,0.05,1,15,30,450,0.558884143829346,1.06085741437421
"min",0.1," MAR  MCAR ",0,0.05,0.05,1,15,30,450,0.0592861175537109,1.84561888328504
