"Method","Miss","MissModel","MNAR","MCAR","MAR","Iteration","Rows","Cols","Total_data","Time_total","NRMSE"
"PPCA",0.1," MCAR ",0,0.1,0,1,180,1130,203400,21.6738572756449,1.01380615681138
"RF",0.1," MCAR ",0,0.1,0,1,180,1130,203400,13.5407414476077,1.00794737582305
"min",0.1," MCAR ",0,0.1,0,1,180,1130,203400,8.68880319595337,2.90340853321358
"mean",0.1," MCAR ",0,0.1,0,1,180,1130,203400,8.71156859397888,1.00197821392032
"LLS",0.1," MCAR ",0,0.1,0,1,180,1130,203400,13.7684893846512,1.23118630354619
"KNNImpute",0.1," MCAR ",0,0.1,0,1,180,1130,203400,8.26768088340759,1.05018432808258
"BPCA",0.1," MCAR ",0,0.1,0,1,180,1130,203400,18.3942883014679,1.00197821392032
"PPCA",0.1," MNAR ",0.1,0,0,1,180,1130,203400,18.9631430705388,3.03458446478171
"RF",0.1," MNAR ",0.1,0,0,1,180,1130,203400,11.7669104218483,3.05421465349623
"min",0.1," MNAR ",0.1,0,0,1,180,1130,203400,9.01060199737549,1.20251272542467
"mean",0.1," MNAR ",0.1,0,0,1,180,1130,203400,8.74507689476013,3.03051171968099
"LLS",0.1," MNAR ",0.1,0,0,1,180,1130,203400,14.1880946318309,3.17451594755706
"KNNImpute",0.1," MNAR ",0.1,0,0,1,180,1130,203400,8.5673291683197,3.05015814925782
"BPCA",0.1," MNAR ",0.1,0,0,1,180,1130,203400,18.3559255599976,3.03051171968099
"PPCA",0.1," MAR ",0,0,0.1,1,180,1130,203400,19.2444018403689,1.01544820582953
"RF",0.1," MAR ",0,0,0.1,1,180,1130,203400,11.8693117539088,1.00909791569367
"min",0.1," MAR ",0,0,0.1,1,180,1130,203400,8.83751440048218,2.84330895431634
"mean",0.1," MAR ",0,0,0.1,1,180,1130,203400,8.82449245452881,1.00329431355002
"LLS",0.1," MAR ",0,0,0.1,1,180,1130,203400,13.4790657718976,1.24948259714875
"KNNImpute",0.1," MAR ",0,0,0.1,1,180,1130,203400,8.26240801811218,1.0574874916947
