"Method","Miss","MissModel","MNAR","MCAR","MAR","Iteration","Rows","Cols","Total_data","Time_total","NRMSE"
"PPCA",0.1," MCAR ",0,0.1,0,1,180,1130,203400,31.6505597511927,1.0128990524337
"RF",0.1," MCAR ",0,0.1,0,1,180,1130,203400,18.6290322502454,1.00999900124077
"min",0.1," MCAR ",0,0.1,0,1,180,1130,203400,0.518840074539185,2.91017446984135
"mean",0.1," MCAR ",0,0.1,0,1,180,1130,203400,0.587566137313843,1.00220890706125
"LLS",0.1," MCAR ",0,0.1,0,1,180,1130,203400,23.1834714810054,1.23240879052901
"KNNImpute",0.1," MCAR ",0,0.1,0,1,180,1130,203400,0.691007614135742,1.0534738880248
"BPCA",0.1," MCAR ",0,0.1,0,1,180,1130,203400,13.1803994178772,1.00220890706125
"PPCA",0.1," MNAR ",0.1,0,0,1,180,1130,203400,29.9906084259351,3.1046421511641
"RF",0.1," MNAR ",0.1,0,0,1,180,1130,203400,15.1287098407745,3.12630392316025
"min",0.1," MNAR ",0.1,0,0,1,180,1130,203400,0.516331672668457,1.2195351618816
"mean",0.1," MNAR ",0.1,0,0,1,180,1130,203400,0.535417795181274,3.09908919004792
"LLS",0.1," MNAR ",0.1,0,0,1,180,1130,203400,23.3899696826935,3.22939162127747
"KNNImpute",0.1," MNAR ",0.1,0,0,1,180,1130,203400,0.637868165969849,3.13408737979991
"BPCA",0.1," MNAR ",0.1,0,0,1,180,1130,203400,13.2545819282532,3.09908919004792
"PPCA",0.1," MAR ",0,0,0.1,1,180,1130,203400,33.1655482093493,1.01565373347832
"RF",0.1," MAR ",0,0,0.1,1,180,1130,203400,15.7317532857259,1.00999502611711
"min",0.1," MAR ",0,0,0.1,1,180,1130,203400,0.514802217483521,2.8260236825491
"mean",0.1," MAR ",0,0,0.1,1,180,1130,203400,0.541545629501343,1.00343580727327
"LLS",0.1," MAR ",0,0,0.1,1,180,1130,203400,23.1360987146695,1.25385062523057
"KNNImpute",0.1," MAR ",0,0,0.1,1,180,1130,203400,0.623295783996582,1.06063156711431
"BPCA",0.1," MAR ",0,0,0.1,1,180,1130,203400,13.2021961212158,1.00343580727327
"PPCA",0.1," MNAR  MCAR ",0.05,0.05,0,1,180,1130,203400,36.3305234273275,1.36341422299645
"RF",0.1," MNAR  MCAR ",0.05,0.05,0,1,180,1130,203400,17.4463386972745,1.36892554134551
"min",0.1," MNAR  MCAR ",0.05,0.05,0,1,180,1130,203400,0.512378215789795,1.4932886692915
"mean",0.1," MNAR  MCAR ",0.05,0.05,0,1,180,1130,203400,0.54094409942627,1.35895619914648
"LLS",0.1," MNAR  MCAR ",0.05,0.05,0,1,180,1130,203400,23.0545265038808,1.43740294063265
"KNNImpute",0.1," MNAR  MCAR ",0.05,0.05,0,1,180,1130,203400,0.625771522521973,1.3819989139459
"BPCA",0.1," MNAR  MCAR ",0.05,0.05,0,1,180,1130,203400,13.314103603363,1.35895619914648
"PPCA",0.1," MAR  MCAR ",0,0.05,0.05,1,180,1130,203400,36.8418974121412,1.01783245147153
